Code,Factory,Weight Kg,Fuel Kg,Horses CV,MaxRPM,RPMGearUp,RPMGearDown,RPMIdle,Front.WheelDiameter,Front.BrakeDeceleration,Back.WheelDiameter,Back.BrakeDeceleration,MaxLeanAngle,TransmissionEfficiency,EngineLayout,Wheelbase,WeightDistributionFront,MaxTorqueNm,AerodynamicDownforce,HoleshotDevice,PrimaryRatio,FinalDrive,GearsRatio,TorqueCurve
Default,Default,157,22.0,250.0,18000,17200,11000,4000,17,18.0,17,12.0,64.0,90.0,V4,1440,51.0,120,50,1,1.65,2.75,2.500|1.850|1.500|1.280|1.130|1.040,4000:60|8000:85|12000:110|15000:120|18000:100
Desmosedici GP26,Ducati,157,22.0,300.0,18500,17800,11500,4500,17,19.0,17,12.5,65.0,93.5,V4,1455,51.5,126,75,1,1.62,2.68,2.400|1.820|1.470|1.250|1.100|1.000,4500:70|9000:95|13000:118|15500:126|18500:105
Desmosedici GP25,Ducati,157,22.0,295.0,18400,17700,11400,4500,17,19.0,17,12.5,65.0,93.0,V4,1455,51.5,124,72,1,1.62,2.7,2.420|1.830|1.480|1.260|1.110|1.010,4500:68|9000:93|13000:116|15500:124|18400:103
Desmosedici GP24,Ducati,157,22.0,290.0,18300,17600,11300,4500,17,19.0,17,12.5,65.0,92.5,V4,1452,51.2,122,66,1,1.62,2.72,2.450|1.840|1.490|1.270|1.120|1.020,4500:66|9000:91|13000:114|15500:122|18300:101
RS-GP26,Aprilia,157,22.0,290.0,18250,17550,11200,4200,17,18.5,17,12.5,66.0,92.5,V4,1450,52.0,121,74,1,1.66,2.72,2.450|1.850|1.500|1.260|1.110|1.010,4200:65|8500:90|12500:112|15000:121|18250:102
RS-GP25,Aprilia,157,22.0,288.0,18200,17500,11150,4200,17,18.5,17,12.5,65.5,92.2,V4,1448,51.8,119,68,1,1.66,2.75,2.470|1.860|1.510|1.270|1.120|1.020,4200:64|8500:88|12500:110|15000:119|18200:100
RS-GP24,Aprilia,157,22.0,285.0,18100,17400,11100,4200,17,18.5,17,12.5,65.0,92.0,V4,1446,51.5,117,60,1,1.66,2.75,2.490|1.870|1.520|1.280|1.130|1.030,4200:62|8500:86|12500:108|15000:117|18100:98
RC16 2026,KTM,157,22.0,295.0,18450,17750,11350,4300,17,19.0,17,12.5,64.0,92.0,V4,1445,51.8,123,70,1,1.64,2.74,2.410|1.810|1.460|1.240|1.090|0.990,4300:68|8800:92|12800:115|15200:123|18450:102
RC16 2025,KTM,157,22.0,292.0,18350,17650,11300,4300,17,19.0,17,12.5,64.0,91.8,V4,1442,51.6,121,65,1,1.64,2.76,2.430|1.820|1.470|1.250|1.100|1.000,4300:66|8800:90|12800:113|15200:121|18350:100
YZR-M1 2026,Yamaha,157,22.0,285.0,18100,17400,11100,4100,17,18.0,17,12.0,66.0,91.5,V4,1440,51.0,119,65,1,1.68,2.78,2.500|1.880|1.530|1.300|1.140|1.030,4100:62|8500:88|12500:110|15000:119|18100:96
YZR-M1 2025,Yamaha,157,22.0,282.0,18000,17300,11000,4100,17,18.0,17,12.0,65.5,91.2,I4,1435,50.5,116,52,1,1.7,2.82,2.520|1.890|1.540|1.310|1.150|1.040,4100:60|8500:86|12500:108|14800:116|18000:94
RC213V 2026,Honda,157,22.0,285.0,18200,17500,11200,4200,17,18.5,17,12.5,64.0,91.0,V4,1445,51.2,118,62,1,1.65,2.8,2.460|1.840|1.480|1.250|1.110|1.010,4200:63|8500:87|12500:109|15000:118|18200:96
RC213V 2025,Honda,157,22.0,282.0,18100,17400,11100,4200,17,18.5,17,12.5,63.5,90.8,V4,1442,51.0,115,55,1,1.65,2.82,2.480|1.850|1.490|1.260|1.120|1.020,4200:61|8500:85|12500:106|14800:115|18100:93
Classic 1980,Default,180,15.0,50.0,8000,7500,4500,1200,18,10.0,18,6.0,45.0,85.0,I2,1400,48.0,45,0,0,2.1,2.9,2.800|1.900|1.400|1.100|0.900,1200:25|3500:38|5500:45|7000:42|8000:35
Vespa Primavera 125 1967,Piaggio,84,5.6,5.6,6000,5500,3000,1100,10,4.0,10,4.0,30.0,80.0,Single,1180,40.0,8,0,0,1.0,3.5,3.600|2.180|1.450|1.040,1100:4|3000:7|4500:8|5500:7|6000:5
Bultaco Sherpa T 350 1975,Bultaco,92,6.5,21.0,5500,5000,2500,1000,21,5.0,18,4.0,35.0,83.0,Single,1315,45.0,28,0,0,2.4,3.8,3.200|2.400|1.800|1.300|1.000,1000:18|2200:26|3500:28|4500:25|5500:18
Honda Super Cub C100 1958,Honda,65,3.0,4.5,9500,8500,4000,1300,17,3.0,17,3.0,35.0,82.0,Single,1180,45.0,5,0,0,3.72,2.64,3.350|1.710|1.160,1300:2|4500:4|7000:5|8500:4.5|9500:3.5
HD Fat Boy FLSTF 1990,Harley-Davidson,290,19.0,49.0,5000,4500,2200,900,16,7.0,16,6.0,38.0,84.0,V2,1618,43.0,86,0,0,1.44,2.15,3.100|2.100|1.450|1.150|0.950,900:55|2000:78|3000:86|4000:80|5000:65
Honda CR250R 1996,Honda,97,7.5,52.0,8500,8000,5000,1500,21,9.0,19,7.0,40.0,86.0,Single,1480,47.0,44,0,0,3.0,3.76,2.250|1.650|1.280|1.050|0.880,1500:15|5000:32|7000:44|8000:40|8500:30
Ducati 916 SBK 1994,Ducati,195,17.0,114.0,9000,8700,6000,1200,17,14.0,17,9.0,55.0,88.0,V2,1410,50.0,91,5,0,1.84,2.4,2.470|1.760|1.350|1.130|0.960|0.850,1200:45|4500:72|7000:91|8500:85|9000:75
Yamaha RD350LC 1983,Yamaha,143,16.0,59.0,9000,8500,5500,1300,18,10.0,18,7.0,48.0,86.0,I2,1365,47.0,47,0,0,2.86,2.41,2.570|1.780|1.350|1.130|0.960|0.850,1300:18|5500:35|7500:47|8500:44|9000:35
BMW R80G/S 1980,BMW,186,19.0,50.0,6500,6000,3500,1000,21,8.0,18,6.0,42.0,85.0,Boxer,1465,46.0,57,0,0,1.5,3.36,4.400|2.850|2.070|1.620|1.310,1000:35|3000:48|5000:57|6000:52|6500:45
Suzuki Hayabusa 1999,Suzuki,215,21.0,175.0,9800,9500,6000,1100,17,15.0,17,10.0,53.0,89.0,I4,1485,49.0,138,10,0,1.59,2.42,2.620|1.940|1.550|1.330|1.140|0.940,1100:70|4500:112|7000:138|8500:130|9800:110
