Code,Name,Surname,City,Country,Birth,Weight,Height
NABE,Norick,Abe,Tòquio,Japan,07/09/1975,65,173
PA37,Pedro,Acosta,Mazarrón,Spain,25/05/2004,62,171
SAGI,Senna,Agius,Sydney,Australia,09/06/2005,66,175
GAGO,Giacomo,Agostini,Brescia,Italy,16/06/1942,65,172
KAKI,Kiyonari,Akiyoshi,Kurume,Japan,12/01/1975,67,174
FA54,Fermín,Aldeguer,Múrcia,Spain,05/04/2005,65,180
DALM,David,Almansa,Argamasilla de Calatrava,Spain,22/01/2006,53,165
DALO,David,Alonso,Madrid,Colombia,25/04/2006,56,166
DAMB,Dario,Ambrosini,Cesena,Italy,30/04/1918,62,168
HAND,Hugh,Anderson,Hamilton,New Zealand,18/01/1936,55,163
HANS,Hans,Anscheidt,Königsberg,Germany,23/12/1935,52,160
HAOK,Haruchika,Aoki,Numazu,Japan,28/03/1976,58,165
NAOK,Nobuatsu,Aoki,Numazu,Japan,31/08/1971,66,176
TAOK,Takuma,Aoki,Numazu,Japan,24/02/1974,62,172
HAOY,Hiroshi,Aoyama,Chiba,Japan,25/10/1981,59,166
TARB,Tony,Arbolino,Garbagnate Milanese,Italy,03/08/2000,64,177
AARE,Albert,Arenas,Girona,Spain,11/12/1996,62,168
XART,Xavier,Artigas,Sant Andreu de la Barca,Spain,27/05/2003,58,171
FB63,Francesco,Bagnaia,Torí,Italy,14/01/1997,67,176
KBAL,Kork,Ballington,Durban,South Africa,10/04/1951,62,168
ABAR,Alex,Barros,São Paulo,Brazil,18/10/1970,72,174
EB23,Enea,Bastianini,Rímini,Italy,30/12/1997,64,168
ABAU,Alvaro,Bautista,Talavera de la Reina,Spain,21/11/1984,60,169
JBAY,Jean-Michel,Bayle,Manosque,France,01/04/1969,72,180
TBAY,Troy,Bayliss,Taree,Australia,30/03/1969,68,174
MBER,Matteo,Bertelle,Monselice,Italy,18/02/2004,56,169
MB72,Marco,Bezzecchi,Rímini,Italy,12/11/1998,61,174
MBIA,Max,Biaggi,Roma,Italy,26/06/1971,63,169
PBIA,Pier Paolo,Bianchi,Rímini,Italy,11/03/1952,54,162
BB33,Brad,Binder,Potchefstroom,South Africa,11/08/1995,63,170
DBIN,Darryn,Binder,Potchefstroom,South Africa,21/01/1998,68,175
SBRA,Stefan,Bradl,Augsburg,Germany,29/11/1989,63,170
DBRA,Dieter,Braun,Ulm,Germany,02/02/1943,65,173
SBYR,Shane,Byrne,Londres,United Kingdom,10/12/1976,69,172
ACAN,Arón,Canet,Corbera,Spain,30/09/1999,63,175
LCAP,Loris,Capirossi,Bolonya,Italy,04/04/1973,59,165
ACAR,Álvaro,Carpe,Múrcia,Spain,10/06/2007,55,168
ANCA,Ana,Carrasco,Cehegín,Spain,10/03/1997,52,156
KCAR,Kel,Carruthers,Sydney,Australia,31/05/1938,64,170
SCHA,Somkiat,Chantra,Chonburi,Thailand,15/12/1998,64,172
CCHE,Carlos,Checa,Sant Fruitós de Bages,Spain,15/10/1972,73,172
PCHI,Pierfrancesco,Chili,Bolonya,Italy,20/06/1964,68,173
SCOR,Sandro,Cortese,Ochsenhausen,Germany,06/01/1990,62,169
ACRI,Álex,Crivillé,Seva,Spain,04/03/1970,64,169
CCRU,Cal,Crutchlow,Coventry,United Kingdom,29/10/1985,66,170
LDAL,Lorenzo,Dalla Porta,Prato,Italy,22/06/1997,61,168
RDEP,Randy,de Puniet,Andrésy,France,14/02/1981,64,169
DDER,Didier,de Radiguès,Lovaina,Belgium,27/03/1958,61,170
FD49,Fabio,Di Giannantonio,Roma,Italy,10/10/1998,68,175
MDOO,Mick,Doohan,Brisbane,Australia,04/06/1965,68,175
ADOV,Andrea,Dovizioso,Forlimpopoli,Italy,23/03/1986,67,167
MDUH,Michael,Duhamel,Mont-real,Canada,26/05/1968,68,170
CEDW,Colin,Edwards,Conroe,United States of America,27/02/1974,75,178
TELI,Toni,Elías,Manresa,Spain,26/03/1983,63,162
AESP,Aleix,Espargaró,Granollers,Spain,30/07/1989,65,180
PESP,Pol,Espargaró,Granollers,Spain,10/06/1991,63,171
JEST,Joel,Esteban,Barcelona,Spain,26/07/2005,56,169
RFEN,Romano,Fenati,Ascoli Piceno,Italy,15/01/1996,61,170
AFER,Adrián,Fernández,Madrid,Spain,31/01/2004,59,171
AGFE,Augusto,Fernández,Madrid,Spain,23/09/1997,72,181
RF25,Raúl,Fernández,Madrid,Spain,23/10/2000,68,177
