Code,Number,Team,Weight,Color,Bike,Race Start,Brake Limit,Cornering,Traction Control,Passing,Grip Control,Consistence,Rain,Qualifying
JROB,16,OnlyFans American Racing Team,68,#1E3A5F,Kalex,,,,,,,,,
FSAL,12,OnlyFans American Racing Team,68,#1E3A5F,Kalex,,,,,,,,,
DHOL,96,CFMOTO Aspar Team,58,#00A7B5,Kalex,,,,,,,,,
DALO,80,CFMOTO Aspar Team,56,#00A7B5,Kalex,,,,,,,,,
IGUE,28,BLU CRU Pramac Yamaha Moto2,63,#0057B8,Boscoscuro SF20T,,,,,,,,,
ALFE,54,BLU CRU Pramac Yamaha Moto2,,#0057B8,Boscoscuro SF20T,,,,,,,,,
BBAL,7,REDS Fantic Racing,69,#D71920,Kalex,,,,,,,,,
TARB,14,REDS Fantic Racing,64,#D71920,Kalex,,,,,,,,,
SGAR,3,ITALJET Gresini Moto2,63,#7A1733,Kalex,,,,,,,,,
ALOP,21,ITALJET Gresini Moto2,64,#7A1733,Kalex,,,,,,,,,
MAJI,64,Idemitsu Honda Team Asia,72,#E31B23,Kalex,,,,,,,,,
TFUR,72,Idemitsu Honda Team Asia,57,#E31B23,Kalex,,,,,,,,,
AHUE,99,Italtrans Racing Team,65,#1D4E89,Kalex,,,,,,,,,
DAMU,17,Italtrans Racing Team,67,#1D4E89,Kalex,,,,,,,,,
JNAV,9,Forward Factory Team,62,#4B4B4B,Forward F2,,,,,,,,,
AESC,11,Forward Factory Team,69,#4B4B4B,Forward F2,,,,,,,,,
SAGI,81,Liqui Moly Dynavolt Intact GP,66,#2B4B9B,Kalex,,,,,,,,,
MGON,18,Liqui Moly Dynavolt Intact GP,64,#2B4B9B,Kalex,,,,,,,,,
ACAN,44,Elf Marc VDS Racing Team,63,#1E3A8A,Boscoscuro SF20T,,,,,,,,,
DONC,53,Elf Marc VDS Racing Team,61,#1E3A8A,Boscoscuro SF20T,,,,,,,,,
APIQ,36,QJMOTOR - R.O.M.E.A - MSI,57,#D22B2B,Kalex,,,,,,,,,
IORT,4,QJMOTOR - R.O.M.E.A - MSI,59,#D22B2B,Kalex,,,,,,,,,
CVEI,95,Red Bull KTM Ajo,59,#F36C21,Kalex,,,,,,,,,
JRUE,98,Red Bull KTM Ajo,56,#F36C21,Kalex,,,,,,,,,
ASAS,71,Momoven Idrofoglia RW Racing Team,55,#2E7D32,Kalex,,,,,,,,,
ZGOO,84,Momoven Idrofoglia RW Racing Team,65,#2E7D32,Kalex,,,,,,,,,
CVIE,13,SpeedRS Team,63,#4A148C,Boscoscuro SF20T,,,,,,,,,
LLUN,32,SpeedRS Team,58,#4A148C,Boscoscuro SF20T,,,,,,,,,
