Round,Circuit Name,Date,Sprint Laps,Race Laps,Sprint,Race
1,Chang International Circuit,01/03/2026,13,26,37|93|25|79|89|33|36|49|63|10|73|5|11|21|43|20|23|42|12|7|51|-|72,72|37|25|89|79|49|33|21|63|10|5|23|11|20|42|12|7|43|51|-|36|73|93
2,Autódromo Internacional Ayrton Senna,22/03/2026,12,25,93|49|89|72|79|20|73|63|37|11|10|25|42|54|33|21|23|7|43|-|12|5|36,72|89|49|93|79|73|37|54|5|25|10|21|11|42|23|20|7|12|-|63|36|33|43
3,Circuit of The Americas,29/03/2026,10,20,89|63|23|73|10|79|25|37|5|54|20|33|21|43|36|42|93|-|72|49|7|11,72|89|37|49|93|23|73|25|10|63|54|33|11|21|7|43|20|42|-|5|79|36
4,Circuito de Jerez-Ángel Nieto,26/04/2026,12,25,93|63|21|33|49|25|20|5|10|42|23|37|47|11|79|43|54|-|72|36|73|7|32|89,73|72|49|89|79|25|5|23|54|37|33|21|10|20|36|42|11|43|7|47|-|63|32|93
5,Bugatti Circuit,10/05/2026,13,27,89|63|72|37|20|36|79|73|11|5|54|33|42|7|43|49|-|25|93|21|23|94|10,89|72|79|49|37|20|23|25|54|10|5|42|7|21|43|94|-|33|36|63|11|73
6,Circuit de Barcelona-Catalunya,17/05/2026,12,24,73|37|49|25|5|63|21|79|72|23|10|54|20|11|42|43|7|47|-|12|89|36|33,49|54|63|72|20|10|33|79|11|21|12|47|36|42|43|7|25|-|89|37|73|5|23
7,Mugello Circuit,31/05/2026,11,23,25|89|49|72|93|54|63|79|37|11|33|42|10|20|12|43|7|51|35|-|36|21|23,72|89|63|79|49|37|93|54|25|11|33|36|10|21|43|7|12|20|51|-|23|35|42
8,Balaton Park Circuit,07/06/2026,11,22,93|37|72|25|54|89|11|23|63|49|79|10|7|43|36|33|20|27|12|21|42|35,93|37|63|79|10|11|27|43|23|33|7|49|42|21|12|35|-|20|36|54|72|25|89
9,Automotodrom Brno,21/06/2026,11,22,63|79|93|49|89|25|23|54|33|36|7|21|20|43|42|-|35|72|10|37|12|11,93|79|63|49|36|54|25|10|89|23|11|33|21|7|12|43|35|-|37|42|20
10,TT Circuit Assen,28/06/2026,13,26,25|79|49|72|89|93|63|23|37|20|11|10|73|33|42|12|7|47|35|-|21|43|36,79|25|89|49|73|23|93|20|42|10|33|43|12|11|47|35|-|63|37|7|21|72|36
11,Sachsenring,12/07/2026,15,30,93|73|49|79|25|89|63|37|20|11|10|33|43|23|36|42|7|35|12|-|21,93|79|25|37|89|63|20|10|23|33|11|43|21|42|7|-|12|35|73|36|49
12,Silverstone Circuit,09/08/2026,10,20,,
13,MotorLand Aragón,30/08/2026,11,22,,
14,Misano World Circuit Marco Simoncelli,13/09/2026,13,27,,
15,Red Bull Ring,20/09/2026,14,28,,
16,Mobility Resort Motegi,04/10/2026,12,24,,
17,Pertamina Mandalika International Circuit,11/10/2026,13,27,,
18,Phillip Island Grand Prix Circuit,25/10/2026,13,27,,
19,Petronas Sepang International Circuit,01/11/2026,10,20,,
20,Lusail International Circuit,08/11/2026,11,22,,
21,Autódromo Internacional do Algarve,22/11/2026,12,25,,
22,Circuit Ricardo Tormo,29/11/2026,14,27,,
