Code,Factory,Weight Kg,Fuel Kg,Horses CV,MaxRPM,RPMGearUp,RPMGearDown,RPMIdle,Front.WheelDiameter,Front.BrakeDeceleration,Back.WheelDiameter,Back.BrakeDeceleration,MaxLeanAngle,TransmissionEfficiency,EngineLayout,Wheelbase,WeightDistributionFront,MaxTorqueNm,AerodynamicDownforce,HoleshotDevice,NumGears,PrimaryRatio,FinalDrive
Default,Default,157,22.0,250.0,18000,17200,11000,4000,17,18.0,17,12.0,64.0,90.0,V4,1440,51.0,120,50,1,6,1.65,2.75
Desmosedici GP26,Ducati,157,22.0,300.0,18500,17800,11500,4500,17,19.0,17,12.5,65.0,93.5,V4,1455,51.5,126,75,1,6,1.62,2.68
Desmosedici GP25,Ducati,157,22.0,295.0,18400,17700,11400,4500,17,19.0,17,12.5,65.0,93.0,V4,1455,51.5,124,72,1,6,1.62,2.7
Desmosedici GP24,Ducati,157,22.0,290.0,18300,17600,11300,4500,17,19.0,17,12.5,65.0,92.5,V4,1452,51.2,122,66,1,6,1.62,2.72
RS-GP26,Aprilia,157,22.0,290.0,18250,17550,11200,4200,17,18.5,17,12.5,66.0,92.5,V4,1450,52.0,121,74,1,6,1.66,2.72
RS-GP25,Aprilia,157,22.0,288.0,18200,17500,11150,4200,17,18.5,17,12.5,65.5,92.2,V4,1448,51.8,119,68,1,6,1.66,2.75
RS-GP24,Aprilia,157,22.0,285.0,18100,17400,11100,4200,17,18.5,17,12.5,65.0,92.0,V4,1446,51.5,117,60,1,6,1.66,2.75
RC16 2026,KTM,157,22.0,295.0,18450,17750,11350,4300,17,19.0,17,12.5,64.0,92.0,V4,1445,51.8,123,70,1,6,1.64,2.74
RC16 2025,KTM,157,22.0,292.0,18350,17650,11300,4300,17,19.0,17,12.5,64.0,91.8,V4,1442,51.6,121,65,1,6,1.64,2.76
YZR-M1 2026,Yamaha,157,22.0,285.0,18100,17400,11100,4100,17,18.0,17,12.0,66.0,91.5,V4,1440,51.0,119,65,1,6,1.68,2.78
YZR-M1 2025,Yamaha,157,22.0,282.0,18000,17300,11000,4100,17,18.0,17,12.0,65.5,91.2,I4,1435,50.5,116,52,1,6,1.7,2.82
RC213V 2026,Honda,157,22.0,285.0,18200,17500,11200,4200,17,18.5,17,12.5,64.0,91.0,V4,1445,51.2,118,62,1,6,1.65,2.8
RC213V 2025,Honda,157,22.0,282.0,18100,17400,11100,4200,17,18.5,17,12.5,63.5,90.8,V4,1442,51.0,115,55,1,6,1.65,2.82
Classic 1980,Default,180,15.0,50.0,8000,7500,4500,1200,18,10.0,18,6.0,45.0,85.0,I2,1400,48.0,45,0,0,5,2.1,2.9
Vespa Primavera 125 1967,Piaggio,84,5.6,5.6,6000,5500,3000,1100,10,4.0,10,4.0,30.0,80.0,Single,1180,40.0,8,0,0,4,1.0,3.5
Bultaco Sherpa T 350 1975,Bultaco,92,6.5,21.0,5500,5000,2500,1000,21,5.0,18,4.0,35.0,83.0,Single,1315,45.0,28,0,0,5,2.4,3.8
Honda Super Cub C100 1958,Honda,65,3.0,4.5,9500,8500,4000,1300,17,3.0,17,3.0,35.0,82.0,Single,1180,45.0,5,0,0,3,3.72,2.64
HD Fat Boy FLSTF 1990,Harley-Davidson,290,19.0,49.0,5000,4500,2200,900,16,7.0,16,6.0,38.0,84.0,V2,1618,43.0,86,0,0,5,1.44,2.15
Honda CR250R 1996,Honda,97,7.5,52.0,8500,8000,5000,1500,21,9.0,19,7.0,40.0,86.0,Single,1480,47.0,44,0,0,5,3.0,3.76
Ducati 916 SBK 1994,Ducati,195,17.0,114.0,9000,8700,6000,1200,17,14.0,17,9.0,55.0,88.0,V2,1410,50.0,91,5,0,6,1.84,2.4
Yamaha RD350LC 1983,Yamaha,143,16.0,59.0,9000,8500,5500,1300,18,10.0,18,7.0,48.0,86.0,I2,1365,47.0,47,0,0,6,2.86,2.41
BMW R80G/S 1980,BMW,186,19.0,50.0,6500,6000,3500,1000,21,8.0,18,6.0,42.0,85.0,Boxer,1465,46.0,57,0,0,5,1.5,3.36
Suzuki Hayabusa 1999,Suzuki,215,21.0,175.0,9800,9500,6000,1100,17,15.0,17,10.0,53.0,89.0,I4,1485,49.0,138,10,0,6,1.59,2.42
Kawasaki KX450F 2024,Kawasaki,106,6.2,58.0,11500,10800,7000,1800,21,10.0,19,8.0,42.0,87.0,Single,1480,47.5,50,0,0,5,2.72,3.84
BMW S1000RR 2025,BMW,197,16.5,210.0,13750,13200,9000,1200,17,16.0,17,11.0,60.0,90.0,I4,1457,52.0,113,25,0,6,1.65,2.64
