Name,Surname,City,Country,Birth,Weight,Height
Norick,Abe,Tòquio,Japan,07/09/1975,65,1.73
Pedro,Acosta,Mazarrón,Spain,25/05/2004,62,1.71
Giacomo,Agostini,Brescia,Italy,16/06/1942,65,1.72
Senna,Agius,Sydney,Australia,09/06/2005,66,1.75
Kiyonari,Akiyoshi,Kurume,Japan,12/01/1975,67,1.74
David,Almansa,Argamasilla de Calatrava,Spain,22/01/2006,53,1.65
David,Alonso,Madrid,Colombia,25/04/2006,56,1.66
Dario,Ambrosini,Cesena,Italy,30/04/1918,62,1.68
Hugh,Anderson,Hamilton,New Zealand,18/01/1936,55,1.63
Hans,Anscheidt,Königsberg,Germany,23/12/1935,52,1.60
Haruchika,Aoki,Numazu,Japan,28/03/1976,58,1.65
Nobuatsu,Aoki,Numazu,Japan,31/08/1971,66,1.76
Takuma,Aoki,Numazu,Japan,24/02/1974,62,1.72
Hiroshi,Aoyama,Chiba,Japan,25/10/1981,59,1.66
Tony,Arbolino,Garbagnate Milanese,Italy,03/08/2000,64,1.77
Albert,Arenas,Girona,Spain,11/12/1996,62,1.68
Xavier,Artigas,Sant Andreu de la Barca,Spain,27/05/2003,58,1.71
Francesco,Bagnaia,Torí,Italy,14/01/1997,67,1.76
Kork,Ballington,Durban,South Africa,10/04/1951,62,1.68
Alex,Barros,São Paulo,Brazil,18/10/1970,72,1.74
Enea,Bastianini,Rímini,Italy,30/12/1997,64,1.68
Álvaro,Bautista,Talavera de la Reina,Spain,21/11/1984,60,1.69
Jean-Michel,Bayle,Manosque,France,01/04/1969,72,1.80
Troy,Bayliss,Taree,Australia,30/03/1969,68,1.74
Matteo,Bertelle,Monselice,Italy,18/02/2004,56,1.69
Marco,Bezzecchi,Rímini,Italy,12/11/1998,61,1.74
Max,Biaggi,Roma,Italy,26/06/1971,63,1.69
Pier Paolo,Bianchi,Rímini,Italy,11/03/1952,54,1.62
Brad,Binder,Potchefstroom,South Africa,11/08/1995,63,1.70
Darryn,Binder,Potchefstroom,South Africa,21/01/1998,68,1.75
Stefan,Bradl,Augsburg,Germany,29/11/1989,63,1.70
Dieter,Braun,Ulm,Germany,02/02/1943,65,1.73
Shane,Byrne,Londres,UK,10/12/1976,69,1.72
Arón,Canet,Corbera,Spain,30/09/1999,63,1.75
Loris,Capirossi,Bolonya,Italy,04/04/1973,59,1.65
Álvaro,Carpe,Múrcia,Spain,10/06/2007,55,1.68
Ana,Carrasco,Cehegín,Spain,10/03/1997,52,1.56
Kel,Carruthers,Sydney,Australia,31/05/1938,64,1.70
Somkiat,Chantra,Chonburi,Thailand,15/12/1998,64,1.72
Carlos,Checa,Sant Fruitós de Bages,Spain,15/10/1972,73,1.72
Pierfrancesco,Chili,Bolonya,Italy,20/06/1964,68,1.73
Sandro,Cortese,Ochsenhausen,Germany,06/01/1990,62,1.69
Álex,Crivillé,Seva,Spain,04/03/1970,64,1.69
Cal,Crutchlow,Coventry,UK,29/10/1985,66,1.70
Lorenzo,Dalla Porta,Prato,Italy,22/06/1997,61,1.68
Didier,de Radiguès,Lovaina,Belgium,27/03/1958,61,1.70
Fabio,Di Giannantonio,Roma,Italy,10/10/1998,68,1.75
Mick,Doohan,Brisbane,Australia,04/06/1965,68,1.75
Andrea,Dovizioso,Forlimpopoli,Italy,23/03/1986,67,1.67
Michael,Duhamel,Mont-real,Canada,26/05/1968,68,1.70
Colin,Edwards,Conroe,USA,27/02/1974,75,1.78
Toni,Elías,Manresa,Spain,26/03/1983,63,1.62
Aleix,Espargaró,Granollers,Spain,30/07/1989,65,1.80
Pol,Espargaró,Granollers,Spain,10/06/1991,63,1.71
Joel,Esteban,Barcelona,Spain,26/07/2005,56,1.69
Romano,Fenati,Ascoli Piceno,Italy,15/01/1996,61,1.70
Adrián,Fernández,Madrid,Spain,31/01/2004,59,1.71
Augusto,Fernández,Madrid,Spain,23/09/1997,72,1.81
Raúl,Fernández,Madrid,Spain,23/10/2000,68,1.77
Carl,Fogarty,Blackburn,UK,01/07/1965,66,1.73
Dennis,Foggia,Roma,Italy,07/01/2001,62,1.70
Jonas,Folger,Mühldorf,Germany,13/08/1993,65,1.80
Taiyo,Furusato,Kanoya,Japan,12/07/2005,57,1.72
Sergio,García,Borriana,Spain,22/03/2003,63,1.71
Wayne,Gardner,Wollongong,Australia,11/10/1959,65,1.70
Sete,Gibernau,Barcelona,Spain,15/12/1972,71,1.77
Manuel,González,Madrid,Spain,04/08/2002,64,1.72
Rodney,Gould,Banbury,UK,10/03/1943,62,1.70
Izan,Guevara,Palma,Spain,28/06/2004,63,1.74
Sylvain,Guintoli,Montélimar,France,24/06/1982,68,1.79
Werner,Haas,Augsburg,Germany,30/05/1927,60,1.65
Noriyuki,Haga,Nagoya,Japan,02/03/1975,66,1.68
Mike,Hailwood,Great Milton,UK,02/04/1940,74,1.80
