"Circuit","City","Country","svg","Length"
"Chang International Circuit","Buriram","Tailandia"
"Autódromo Internacional Ayrton Senna","Goiânia","Brasil"
"Circuit of The Americas","Austin","Estados Unidos"
"Circuito de Jerez-Ángel Nieto","Jerez de la Frontera","España","jerez-2"
"Bugatti Circuit","Le Mans","Francia"
"Circuit de Barcelona-Catalunya","Montmeló","España","catalunya-6",4655
"Mugello Circuit","Scarperia e San Piero","Italia","mugello-1"
"Balaton Park Circuit","Balatonfőkajár","Hungría"
"Automotodrom Brno","Brno","República Checa"
"TT Circuit Assen","Assen","Países Bajos"
"Sachsenring","Hohenstein-Ernstthal","Alemania"
"Silverstone Circuit","Silverstone","Reino Unido"
"MotorLand Aragón","Alcañiz","España"
"Misano World Circuit Marco Simoncelli","Misano Adriatico","Italia"
"Red Bull Ring","Spielberg","Austria"
"Mobility Resort Motegi","Motegi","Japón"
"Pertamina Mandalika International Circuit","Lombok","Indonesia"
"Phillip Island Grand Prix Circuit","Phillip Island","Australia"
"Petronas Sepang International Circuit","Sepang","Malasia"
"Lusail International Circuit","Lusail","Catar"
"Autódromo Internacional do Algarve","Portimão","Portugal"
"Circuito de Ricardo Tormo","Cheste","España"
